page;category;subcategory;food;sighi_score;histamine_marker;other_amines_marker;liberator_marker;inhibitor_marker;uncertain_marker;other_marker;notes
8;Potraviny rostlinného původu;Sladidla;E420, sorbitol, glucitol, sorbit;0;;;;;;;Projímadlo, diuretikum. Neslučitelné s intolerancí sorbitolu a dědičnou fruktózovou intolerancí.
8;Potraviny rostlinného původu;Sladidla;E967, xylitol, xylit, březový cukr;0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;fruktóza;0;;;;;;;Velké množství může vyvolat zažívací potíže.
8;Potraviny rostlinného původu;Sladidla;glukóza;0;;;;;;;Glukózový sirup může obsahovat vysoký obsah fruktózy, glukóza je bez obsahu fruktózy.
8;Potraviny rostlinného původu;Sladidla;invertní cukr, invertovaný cukr;0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;javorový sirup;0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;karamel (zkaramelizovaný cukr);0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;kořen lékořice;2;;;;;liberator?;;
8;Potraviny rostlinného původu;Sladidla;laktóza (mléčný cukr);0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;maltóza, sladový cukr;0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;med;0;;;;;;;K diskuzi. Sporné. Obsahuje přirozené vysoký obsah kyseliny benzoové.
8;Potraviny rostlinného původu;Sladidla;palmový cukr;?;;;;;liberator?;;
8;Potraviny rostlinného původu;Sladidla;sacharóza;0;;;;;;;Používat pouze šetrně, omezit.
8;Potraviny rostlinného původu;Sladidla;sladový extrakt;2;;;;;;;
8;Potraviny rostlinného původu;Sladidla;sorbitol, glucitol, sorbit, E420;0;;;;;;;Projímadlo, diuretikum. Neslučitelné s intolerancí sorbitolu a dědičnou fruktózovou intolerancí.
8;Potraviny rostlinného původu;Sladidla;stevie (listy, prášek, tekuté sladidlo);0;;;;;;;
8;Potraviny rostlinného původu;Sladidla;umělá sladidla;1;;;;;;;Sukralóza je tolerovaná.
8;Potraviny rostlinného původu;Sladidla;xylitol, xylit, březový cukr, E967;0;;;;;;;
8;Potraviny rostlinného původu;Koření, dochucovadla;anýz, bedrník anýz;?;;;;;;;
8;Potraviny rostlinného původu;Koření, dochucovadla;badyán;?;;;;;;;
8;Potraviny rostlinného původu;Koření, dochucovadla;bobkový list;?;;;;;;;Malé množství dobře tolerováno, žádná zkušenost s větším množstvím.
8;Potraviny rostlinného původu;Koření, dochucovadla;bujón (kvasničný extrakt, masový extrakt, glutamát);2;;;;;;;Téměř vždy obsahuje nevhodné sloučeniny/aditiva.
8;Potraviny rostlinného původu;Koření, dochucovadla;černucha setá (Nigella sativa);0;;;;;;;protialergický
8;Potraviny rostlinného původu;Koření, dochucovadla;hořčičné semínko;2;;;L;;;;hořčičná semínka a výrobky z nich
8;Potraviny rostlinného původu;Koření, dochucovadla;hřebíček;0;;;;;;;Malé množství dobře tolerováno, žádná zkušenost s větším množstvím.
8;Potraviny rostlinného původu;Koření, dochucovadla;jalovec;0;;;;;;;
8;Potraviny rostlinného původu;Koření, dochucovadla;kardamom;0;;;;;;;Používat střídmě. Jako koření se prodává více odrůd (různá míra tolerance?).
8;Potraviny rostlinného původu;Koření, dochucovadla;kari koření;2;;;;;;;
8;Potraviny rostlinného původu;Koření, dochucovadla;kmín;0;;;;;;;Pozitivní efekt: odstranění těžkých kovů. Nezaměňovat s kmínem římským.
8;Potraviny rostlinného původu;Koření, dochucovadla;kmín černý (Nigella sativa);0;;;;;;;protialergický
9;Potraviny rostlinného původu;Koření, dochucovadla;masový extrakt;2;;;;;"histamin?; amines?; liberator?";;
9;Potraviny rostlinného původu;Koření, dochucovadla;muškátový oříšek;1;;;;;;;Malé množství dobře tolerováno.
9;Potraviny rostlinného původu;Koření, dochucovadla;ocet: balzamiko;3;H;;;;amines?;;
9;Potraviny rostlinného původu;Koření, dochucovadla;ocet: jablečný ocet;1;H;;;;amines?;;Zkontrujte obsah nevhodných aditiv.
9;Potraviny rostlinného původu;Koření, dochucovadla;ocet: lihový ocet;0;;;;;histamin?;;Nízkohistaminový, užívat šetrně. Zkontrolujte obsah nevhodných aditiv.
9;Potraviny rostlinného původu;Koření, dochucovadla;ocet: vinný (z červeného vína);3;H;;;;amines?;;
9;Potraviny rostlinného původu;Koření, dochucovadla;ocet: vinný (z bílého vína);3;H;;;;amines?;;
9;Potraviny rostlinného původu;Koření, dochucovadla;paprika pálivá, koření;2;;;;;;;Dráždivá pro střevo.
9;Potraviny rostlinného původu;Koření, dochucovadla;paprika sladká, koření;0;;;;;;;
9;Potraviny rostlinného původu;Koření, dochucovadla;pepř bílý;2;;;;;;;Malé množství dobře tolerováno.
9;Potraviny rostlinného původu;Koření, dochucovadla;pepř černý;2;;;;;;;Malé množství dobře tolerováno.
9;Potraviny rostlinného původu;Koření, dochucovadla;skořice;0;;;;;;;
9;Potraviny rostlinného původu;Koření, dochucovadla;sójová omáčka;3;;;;;;;
9;Potraviny rostlinného původu;Koření, dochucovadla;tymián;0;;;;;;;
9;Potraviny rostlinného původu;Koření, dochucovadla;vanilka, vanilkový prášek;1;;;;;"histamin?; liberator?";;Tolerovaná v malých množstvích. Fermentace. Možné stopy siřičitanů (pozor na přídavek vanilinu).
9;Potraviny rostlinného původu;Koření, dochucovadla;vanilkový cukr;1;;;;;"histamin?; liberator?";;Tolerovaná v malých množstvích. Fermentace. Možné stopy siřičitanů (pozor na přídavek vanilinu).
9;Potraviny rostlinného původu;Koření, dochucovadla;vanilkový extrakt;1;;;;;"histamin?; liberator?";;Z fermentovaných plodů, alkohol
9;Potraviny rostlinného původu;Koření, dochucovadla;zázvor;1;;;;;;;Malé množství dobře tolerováno.
9;Nápoje;Voda;kohoutková voda;0;;;;;;;
9;Nápoje;Voda;minerální voda (bez bublinek);0;;;;;;;
9;Nápoje;Voda;termální voda (s obsahem síry, fluoru, jódu..);1;;;;;liberator?;;
9;Nápoje;Alkoholické nápoje;alkohol;3;;;L;B;;;
9;Nápoje;Alkoholické nápoje;alkoholické nápoje;3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;brandy;2;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;etanol;3;;;L;B;;;
9;Nápoje;Alkoholické nápoje;pálenka (čirá, bez aditiv);2;;;L;B;"histamin?; amines?";;
9;Nápoje;Alkoholické nápoje;pálenka (přibarvená, ochucená);3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;pivo;2;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;rum;2;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;šampaňské;3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;šumivé víno;3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;víno;3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;víno nízkohistaminové (<0.1 mg/l);1;;;L;B;amines?;;Stále obsahuje alkohol, vhodné pro vaření, kde se alkohol vyprchá.
9;Nápoje;Alkoholické nápoje;víno: bílé;2;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;víno: červené;3;H;A;L;B;;;
9;Nápoje;Alkoholické nápoje;víno: Schilcherwein;2;H;A;L;B;;;
9;Nápoje;Čaje;čaj z verbeny;0;;;;;;;Má uklidňující efekt na trávící a nervovou soustavu.
9;Nápoje;Čaje;čaj: bylinný (léčivé byliny, především směsi);1;;;;;liberator?;;Může obsahovat netolerovanou surovinu.
9;Nápoje;Čaje;čaj: černý;2;H;;;B;;;
9;Nápoje;Čaje;čaj: heřmánkový;0;;;;;;;
9;Nápoje;Čaje;čaj: kopřivový čaj;1;H;;;;"amines?; liberator?";;
9;Nápoje;Čaje;čaj: lipový;0;;;;;;;
9;Nápoje;Čaje;čaj: maté;1;;;;B;;;
9;Nápoje;Čaje;čaj: mátový;0;;;;;;;
9;Nápoje;Čaje;čaj: roiboos;0;;;;;;;Pozor na čajové mixy, kde se k tolerovanému čaji (roiboos) pridávají netolerované složky.
9;Nápoje;Čaje;čaj: šalvějový;0;;;;;;;
9;Nápoje;Čaje;čaj: zelený čaj;1;;;;B;;;
9;Nápoje;Džusy, ovocné nektary;brusinkový nektar;0;;;;;;;
9;Nápoje;Džusy, ovocné nektary;pomerančový džus;2;;;L;;;;
9;Nápoje;Zeleninové džusy;rajčatový džus;2;;;L;;;;
10;Nápoje;Zeleninové džusy;kolové nápoje;1;;;;;;;viz kofein a perlivé nápoje
10;Nápoje;Rostlinné náhrady mléka;ovesný nápoj, ovesné mléko;1;;;;;;;Může obsahovat menší množství histaminu po enzymatické fermentaci.
10;Nápoje;Rostlinné náhrady mléka;rýžové mléko;1;;;;;;;Může obsahovat menší množství histaminu po enzymatické fermentaci.
10;Nápoje;Rostlinné náhrady mléka;sójové mléko;2;;;;;;;
10;Nápoje;Limonády;bezová šťáva;0;;;;;;;
10;Nápoje;Limonády;čokoládové nápoje;2;;;;;;;
10;Nápoje;Limonády;horká čokoláda;2;;;;;;;
10;Nápoje;Limonády;kakaové nápoje;2;;;;;;;
10;Nápoje;Limonády;limonády;1;;;;;;;Závisí na složení.
10;Potravinová aditiva;;amoniakový karamel, E150c;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
10;Potravinová aditiva;;citronan vápenatý, citrát vápenatý, E333;1;;;;;liberator?;;Často dobře tolerováno.
10;Potravinová aditiva;;E122, azorubin, karmoisin, CI potravinářská červeň 3;2;;;L;;;;
10;Potravinová aditiva;;E227, hydrogensiřičitan vápenatý;2;;;L;;;;
10;Potravinová aditiva;;E623, glutaman vápenatý, glutamát vápenatý;2;;;L;;;;
10;Potravinová aditiva;;hydroxypropylmethylcelulóza, E464;0;;;;;;;
10;Potravinová aditiva;;košenila, kyselina karmínová, karmíny, E120;2;;;L;;;;
10;Potravinová aditiva;;kyselina vinná, E334;0;;;;;;;
10;Potravinová aditiva;;litholrubin BK, E180;2;;;L;;;;Povolen pouze v obalech sýrů.
10;Potravinová aditiva;;propylgallát, E310;2;;;L;;;;
10;Potravinová aditiva;;tragant, E413;2;;;L;;;;
10;Potravinová aditiva;;uhlík z rostlinné suroviny, E153;0;;;;;;;
10;Potravinová aditiva;;, kyselina erythorbová, E315;0;;;;;;;
10;Potravinová aditiva;;160b, annatto, bixin, norbixin;2;;;L;;;;
10;Potravinová aditiva;;agar, E406;1;;;;;liberator?;;
10;Potravinová aditiva;;alfa-tokoferol, E307;0;;;;;;;
10;Potravinová aditiva;;alginát amonný, E403;2;;;L;;;;
10;Potravinová aditiva;;alginát draselný, E402;2;;;L;;;;
10;Potravinová aditiva;;alginát sodný, E401;2;;;L;;;;
10;Potravinová aditiva;;alginát vápenatý, E404;2;;;L;;;;
10;Potravinová aditiva;;amaranth, E123;2;;;L;;;;Barvivo, nezaměňovat s pseudoobilninou.
10;Potravinová aditiva;;amoniak-sulfitový karamel, E150d;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
10;Potravinová aditiva;;annatto, bixin, norbixin, E160b, bixin, norbixin, E160b;2;;;L;;;;
10;Potravinová aditiva;;anthokyany, E163;0;;;;;;;
10;Potravinová aditiva;;arabská guma, E414;1;;;L;;;;
10;Potravinová aditiva;;aromata, aroma;1;;;;;;;Jakákoli. Obvykle špatně tolerována.
10;Potravinová aditiva;;askorban sodný, askorbát sodný, E301;0;;;;;;;
10;Potravinová aditiva;;askorban vápenatý, askorbát vápenatý, E302;0;;;;;;;
10;Potravinová aditiva;;azogeranin, E128;2;;;L;;;;
10;Potravinová aditiva;;azorubin, karmoisin, E122;2;;;L;;;;
10;Potravinová aditiva;;benzoan draselný, benzoát draselný, E212;2;;;L;;;;
10;Potravinová aditiva;;benzoan sodný, benzoát sodný, E211;2;;;L;;;;
10;Potravinová aditiva;;benzoan vápenatý, benzoát vápenatý, E213;2;;;L;;;;
10;Potravinová aditiva;;benzoáty, E210-213;2;;;L;;;;
10;Potravinová aditiva;;beta-apo-8-karotenal, E160e;?;;;;;;;
10;Potravinová aditiva;;betanin, E162;0;;;;;;;
10;Potravinová aditiva;;borax, tetraboritan sodný, E285;?;;;;;;;Velmi jedovatý, je povolen pouze v kaviáru.
10;Potravinová aditiva;;brilantní čerň BN, E151;3;;;L;;;;
10;Potravinová aditiva;;brilantní modř FCF, E133;?;;;;;liberator?;;
10;Potravinová aditiva;;butylhydroxyanisol (BHA), E320;2;;;L;;;;
10;Potravinová aditiva;;butylhydroxytoluen (BHT), E321;2;;;L;;;;
10;Potravinová aditiva;;celulózy, E460;0;;;;;;;
10;Potravinová aditiva;;čerň BN, E151;3;;;L;;;;
10;Potravinová aditiva;;červeň 2G, E128;2;;;L;;;;
10;Potravinová aditiva;;červeň Allura AC, E129;2;;;L;;;;Zákaz používání v některých zemích.
11;Potravinová aditiva;;CI potravinářská červeň 7, E124;2;;;L;;;;
11;Potravinová aditiva;;CI potravinářská hněď 1, E154;2;;;L;;;;
11;Potravinová aditiva;;CI potravinářská hněď 3, E155;2;;;L;;;;
11;Potravinová aditiva;;CI potravinářská modř 2, E133;?;;;;;liberator?;;
11;Potravinová aditiva;;CI potravinářská modř V, E131;2;;;L;;;;
11;Potravinová aditiva;;citronan draselný, citrát draselný, E332;1;;;;;liberator?;;Často dobře tolerováno.
11;Potravinová aditiva;;citronan triamonný, E380;1;;;;;liberator?;;
11;Potravinová aditiva;;citronany sodné, citráty sodné, E331;1;;;;;liberator?;;Často dobře tolerováno.
11;Potravinová aditiva;;Cl potravinářská červeň 14, E127;3;;;L;;inhibitor?;;
11;Potravinová aditiva;;Cl potravinářská modř 1, E132;2;;;L;;;;
11;Potravinová aditiva;;Cl potravinářská žluť 3, E110;3;;;L;;;;
11;Potravinová aditiva;;delta-tokoferol, E309;0;;;;;;;
11;Potravinová aditiva;;dimethyldikarbonát, DMDC, dimethylpyrokarbonát, E242;?;;;;;;;
11;Potravinová aditiva;;dimethylpyrokarbonát, E242;?;;;;;;;
11;Potravinová aditiva;;dimethylsilikonový olej, E900;?;;;;;;;
11;Potravinová aditiva;;disiřičitan draselný, E224;2;;;L;;;;
11;Potravinová aditiva;;disiřičitan sodný, E223;2;;;L;;;;
11;Potravinová aditiva;;dodecylgallát, E312;2;;;L;;;;
11;Potravinová aditiva;;dusičnan draselný, ledek, E252;?;;;;;;;
11;Potravinová aditiva;;dusičnan sodný, chilský ledek, E251;?;;;;;;;
11;Potravinová aditiva;;dusitan draselný, E249;?;;;;;;;
11;Potravinová aditiva;;dusitan sodný, E250;0;;;;;;;
11;Potravinová aditiva;;E100, kurkumin;0;;;;;;;
11;Potravinová aditiva;;E101a, riboflavin-5'-fosfát;1;;;L;;;;
11;Potravinová aditiva;;E102, tartrazin;3;;;L;;;;
11;Potravinová aditiva;;E104, chinolinová žluť;3;;;L;;;;
11;Potravinová aditiva;;E110, žluť SY, Cl potravinářská žluť 3;3;;;L;;;;
11;Potravinová aditiva;;E1103, invertasa;0;;;;;;;
11;Potravinová aditiva;;E1105, lysozym;?;;;;;;;
11;Potravinová aditiva;;E120, košenila, kyselina karmínová, karmíny;2;;;L;;;;
11;Potravinová aditiva;;E1200, polydextrosy;?;;;;;;;Vě větších množstvích může mít projímavé účinky.
11;Potravinová aditiva;;E1201, polyvinylpyrrolidon, PVP, povidon;1;;;;;liberator?;;
11;Potravinová aditiva;;E1202, polyvinylpolypyrrolidon, síťovaný povidon, PVPP;1;;;;;liberator?;;
11;Potravinová aditiva;;E123, amaranth;2;;;L;;;;Barvivo, nezaměňovat s pseudoobilninou.
11;Potravinová aditiva;;E124, ponceau 4R, konšelinová červeň A, CI potravinářská červeň 7;2;;;L;;;;
11;Potravinová aditiva;;E127, erythrosin, Cl potravinářská červeň 14;3;;;L;;inhibitor?;;
11;Potravinová aditiva;;E128, červeň 2G, Cl potravinářská červeň 10, azogeranin;2;;;L;;;;
11;Potravinová aditiva;;E129, červeň Allura AC, Cl potravinářská červeň 17;2;;;L;;;;Zákaz používání v některých zemích.
11;Potravinová aditiva;;E131, patentní modř V, CI potravinářská modř V;2;;;L;;;;
11;Potravinová aditiva;;E132, indigotin, Cl potravinářská modř 1;2;;;L;;;;
11;Potravinová aditiva;;E133, brilantní modř FCF, Cl potravinářská modř 2;?;;;;;liberator?;;
11;Potravinová aditiva;;E140, chlorofyly a chlorofyliny;0;;;;;;;
11;Potravinová aditiva;;E141,měďnaté komplexy chlorofylů a chlorofylinů;0;;;;;;;
11;Potravinová aditiva;;E142, zeleň S;?;;;;;liberator?;;
11;Potravinová aditiva;;E150a, jednoduchý karamel (Kulér);0;;;;;;;
11;Potravinová aditiva;;E150b, kaustický sulfitový karamel;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
11;Potravinová aditiva;;E150C, amoniakový karamel;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
11;Potravinová aditiva;;E150d, amoniak-sulfitový karamel;0;;;;;;;Pravděpodobně méně tolerovaný než E150.
11;Potravinová aditiva;;E151, čerň BN, lesklá čerň BN, brilantní čerň BN;3;;;L;;;;
11;Potravinová aditiva;;E153, uhlík z rostlinné suroviny;0;;;;;;;
11;Potravinová aditiva;;E154, hněď FK, CI potravinářská hněď 1;2;;;L;;;;
11;Potravinová aditiva;;E155, hněď HT, CI potravinářská hněď 3;2;;;L;;;;
11;Potravinová aditiva;;E160a, karoteny;0;;;L;;;;
11;Potravinová aditiva;;E160c, paprikový extrakt, kapsanthin, kapsorubin;0;;;;;;;
11;Potravinová aditiva;;E160d, lykopen;?;;;;;;;
11;Potravinová aditiva;;E160e, beta-apo-8-karotenal;?;;;;;;;
11;Potravinová aditiva;;E160f, ethylester kyseliny beta-apo-8-karotenové;?;;;;;;;
12;Potravinová aditiva;;E172, oxidy a hydroxidy železa;0;;;;;;;
12;Potravinová aditiva;;E173, hliník, CI kovový pigment;?;;;;;;;Nezdravý z jiných důvodů.
12;Potravinová aditiva;;E174, stříbro;?;;;;;;;
12;Potravinová aditiva;;E175, zlato;0;;;;;;;
12;Potravinová aditiva;;E180, litholrubin BK;2;;;L;;;;Povolen pouze v obalech sýrů.
12;Potravinová aditiva;;E200, kyselina sorbová;2;;;L;;;;
12;Potravinová aditiva;;E202, sorban draselný, sorbát draselný;2;;;L;;;;
12;Potravinová aditiva;;E203, sorban vápenatý, sorbát vápenatý;2;;;L;;;;
12;Potravinová aditiva;;E210, kyselina benzoová;2;;;L;;;;
12;Potravinová aditiva;;E210-213, kyselina benzoová a její soli (benzoáty);2;;;L;;;;
12;Potravinová aditiva;;E211, benzoan sodný, benzoát sodný;2;;;L;;;;
12;Potravinová aditiva;;E212, benzoan draselný, benzoát draselný;2;;;L;;;;
12;Potravinová aditiva;;E213, benzoát vápenatý, benzoan vápenatý;2;;;L;;;;
12;Potravinová aditiva;;E214-E219, parabeny;2;;;L;;;;
12;Potravinová aditiva;;E215, ethylparahydroxybenzoát sodná sůl;2;;;L;;;;
12;Potravinová aditiva;;E218,E219, methylparaben a jeho sodná sůl, methylparahydroxybenzoát a jeho sodná sůl;2;;;L;;;;
12;Potravinová aditiva;;E220 - E228, siřičitany;2;;;L;;;;
12;Potravinová aditiva;;E220, oxid siřičitý;2;;;L;;;;
12;Potravinová aditiva;;E221, siřičitan sodný;2;;;L;;;;
12;Potravinová aditiva;;E222, hydrogensiřičitan sodný;2;;;L;;;;
12;Potravinová aditiva;;E223, disiřičitan sodný;2;;;L;;;;
12;Potravinová aditiva;;E224, disiřičitan draselný;2;;;L;;;;
12;Potravinová aditiva;;E225, siřičitan draselný;2;;;L;;;;
12;Potravinová aditiva;;E226, siřičitan vápenatý;2;;;L;;;;
12;Potravinová aditiva;;E228, hydrogensiřičitan draselný;2;;;L;;;;
12;Potravinová aditiva;;E231, orthofenylfenol;2;;;L;;;;
12;Potravinová aditiva;;E232, orthofenylfenolát sodný;2;;;;;;;
12;Potravinová aditiva;;E234, nisin;?;;;;;;;
12;Potravinová aditiva;;E235, natamycin;?;;;;;;;
12;Potravinová aditiva;;E239, hexamethylentetraamin, urotropi, methenamin, hexamin;2;;;L;;;;
12;Potravinová aditiva;;E242, dimethyldikarbonát, DMDC, dimethylpyrokarbonát;?;;;;;;;
12;Potravinová aditiva;;E249, dusitan draselný;?;;;;;;;
12;Potravinová aditiva;;E250, dusitan sodný;0;;;;;;;
12;Potravinová aditiva;;E251, dusičnan sodný, chilský ledek;?;;;;;;;
12;Potravinová aditiva;;E252, dusičnan draselný, ledek;?;;;;;;;
12;Potravinová aditiva;;E260, kyselina octová;0;;;;;;;
12;Potravinová aditiva;;E261, octan draselný;0;;;;;;;
12;Potravinová aditiva;;E262, octan sodný;0;;;;;;;
12;Potravinová aditiva;;E263, octan vápenatý;0;;;;;;;
12;Potravinová aditiva;;E270, kyselina mléčná;0;;;;;;;Chemicky vyráběná kyselina mléčná není problém, produkt bakteriálního mléčného kvašení může být problém.
12;Potravinová aditiva;;E280, kyselina propionová;?;;;;;;;Při degradaci propionové kyseliny se spotřebovává B12, což může vést/zhoršovat deficienci tohoto vitamínu.
12;Potravinová aditiva;;E281, propionan sodný;?;;;;;;;
12;Potravinová aditiva;;E282, propionan vápenatý;?;;;;;;;
12;Potravinová aditiva;;E283, propionan draselný;?;;;;;;;
12;Potravinová aditiva;;E284, kyselina boritá;?;;;;;;;Velmi jedovatý, toxická látka pro reprodukční systém.
12;Potravinová aditiva;;E285, tetraboritan sodný, borax;?;;;;;;;Velmi jedovatý, je povolen pouze v kaviáru.
12;Potravinová aditiva;;E290, oxid uhličitý;0;;;;;;;Způsobuje pouze krátkodobé přechodné symptomy, pokud je konzumace ve větší míře.
12;Potravinová aditiva;;E296, kyselina jablečná;0;;;;;;;
12;Potravinová aditiva;;E297, kyselina fumarová;?;;;;;;;
12;Potravinová aditiva;;E300, kyselina l-askorbová, vitamín C;0;;;;B;;;Snižuje hladiny histaminu, ale zřejmě je mírný inhibitor DAO. Vhodné při MCAS, nevhodné při HIT?
12;Potravinová aditiva;;E301, askorban sodný, askorbát sodný;0;;;;;;;
12;Potravinová aditiva;;E302, askorban vápenatý, askorbát vápenatý;0;;;;;;;
12;Potravinová aditiva;;E304, estery mastných kyselin s kyselinou askorbovou;0;;;;;;;
12;Potravinová aditiva;;E306, extrakt s vysokým obsahem tokoferolů;0;;;;;;;
13;Potravinová aditiva;;E316, erythorban sodný;0;;;;;;;
13;Potravinová aditiva;;E319, terciální butylhydrochinon (TBHQ);?;;;;;;;
13;Potravinová aditiva;;E320, butylhydroxyanisol (BHA);2;;;L;;;;
13;Potravinová aditiva;;E321, butylhydroxytoluen (BHT);2;;;L;;;;
13;Potravinová aditiva;;E322, lecitiny;0;;;;;;;Nejčastěji sójový lecitin.
13;Potravinová aditiva;;E325, mléčnan sodný;0;;;;;;;
13;Potravinová aditiva;;E326, mléčnan draselný;0;;;;;;;
13;Potravinová aditiva;;E327, mléčnan vápenatý;0;;;;;;;
13;Potravinová aditiva;;E330, kyselina citrónová;1;;;;;;;K diskuzi. Vyrábí se z plísní, ne z citrusů.
13;Potravinová aditiva;;E331, citronany sodné, citráty sodné;1;;;;;liberator?;;Často dobře tolerováno.
13;Potravinová aditiva;;E332, citronan draselný, citrát draselný;1;;;;;liberator?;;Často dobře tolerováno.
13;Potravinová aditiva;;E333, citronan vápenatý, citrát vápenatý;1;;;;;liberator?;;Často dobře tolerováno.
13;Potravinová aditiva;;E334, kyselina vinná;0;;;;;;;
13;Potravinová aditiva;;E335, vinany sodné;0;;;;;;;viz. Vinný kámen.
13;Potravinová aditiva;;E336, vinany draselné;0;;;;;;;
13;Potravinová aditiva;;E340, fosforečnany draselné;1;;;;;liberator?;;
13;Potravinová aditiva;;E341, fosforečnan vápenatý;1;;;;;liberator?;;
13;Potravinová aditiva;;E380, citronan triamonný;1;;;;;liberator?;;
13;Potravinová aditiva;;E400, kyselina alginová;2;;;L;;;;
13;Potravinová aditiva;;E401, alginát sodný;2;;;L;;;;
13;Potravinová aditiva;;E402, alginát draselný;2;;;L;;;;
13;Potravinová aditiva;;E403, alginát amonný;2;;;L;;;;
13;Potravinová aditiva;;E404, alginát vápenatý;2;;;L;;;;
13;Potravinová aditiva;;E405, propylenglykolalginát;2;;;L;;;;
13;Potravinová aditiva;;E406, agar;1;;;;;liberator?;;
13;Potravinová aditiva;;E407, E407a, karagenany;2;;;L;;;;
13;Potravinová aditiva;;E410, karubin;2;;;L;;;;Zahušťovadlo vyráběné ze semen karobu.
13;Potravinová aditiva;;E412, guma guar;1;;;L;;;;
13;Potravinová aditiva;;E413, tragant;2;;;L;;;;
13;Potravinová aditiva;;E414, arabská guma;1;;;L;;;;
13;Potravinová aditiva;;E415, xanthan;0;;;;;;;
13;Potravinová aditiva;;E416, guma karaya;1;;;L;;;;
13;Potravinová aditiva;;E421, mannitol;0;;;;;;;
13;Potravinová aditiva;;E422, glycerol;0;;;;;;;
13;Potravinová aditiva;;E440, pektin;0;;;;;;;
13;Potravinová aditiva;;E441, želatina;1;;;;;"histamin?; liberator?";;Sporné, může být dobře tolerována.
13;Potravinová aditiva;;E452, polyfosforečnany ( sodný, draselný a vápenatý);2;;;;;liberator?;;
13;Potravinová aditiva;;E460, celulózy;0;;;;;;;
13;Potravinová aditiva;;E461, methylcelulóza;0;;;;;;;Větší množství může mít projímavé účinky.
13;Potravinová aditiva;;E462, ethylcelulóza;0;;;;;;;
13;Potravinová aditiva;;E463, hydroxypropylcelulóza;0;;;;;;;
13;Potravinová aditiva;;E464, hydroxypropylmethylcelulóza;0;;;;;;;
13;Potravinová aditiva;;E465, ethylmethylcelulóza;0;;;;;;;
13;Potravinová aditiva;;E466, karboxymethylcelulóza;?;;;;;;;
13;Potravinová aditiva;;E500(i), uhličitan sodný;0;;;;;;;
13;Potravinová aditiva;;E500(ii), hydrogenuhličitan sodný;0;;;;;;;
13;Potravinová aditiva;;E501, uhličitan draselný;0;;;;;;;
13;Potravinová aditiva;;E503, uhličitan amonný;0;;;;;;;
13;Potravinová aditiva;;E504, uhličitan hořečnatý;0;;;;;;;
13;Potravinová aditiva;;E507, kyselina chlorovodíková;0;;;;;;;
13;Potravinová aditiva;;E579, glukonan železnatý;0;;;;;;;
13;Potravinová aditiva;;E620, kyselina L-glutamová;2;;;L;;;;
13;Potravinová aditiva;;E620-E625, glutamáty, glutamany;2;;;L;;;;
13;Potravinová aditiva;;E621, L-glutaman sodný, L-glutamát sodný;2;;;L;;;;
13;Potravinová aditiva;;E622, glutaman draselný, glutamát draselný;2;;;L;;;;
13;Potravinová aditiva;;E624, glutaman amonný, glutamát amonný;2;;;L;;;;
13;Potravinová aditiva;;E625, glutaman hořečnatý, glutamát hořečnatý;2;;;L;;;;
13;Potravinová aditiva;;E626, kyselina guanylová;0;;;;;;;
14;Potravinová aditiva;;estery mastných kyselin s kyselinou askorbovou, E304;0;;;;;;;
14;Potravinová aditiva;;ethylcelulóza, E462;0;;;;;;;
14;Potravinová aditiva;;ethylester kyseliny beta-apo-8-karotenové, E160f;?;;;;;;;
14;Potravinová aditiva;;ethylmethylcelulóza, E465;0;;;;;;;
14;Potravinová aditiva;;ethylparahydroxybenzoát sodná sůl, E215;2;;;L;;;;
14;Potravinová aditiva;;extrakt s vysokým obsahem tokoferolů, E306;0;;;;;;;
14;Potravinová aditiva;;fosforečnan vápenatý, E341;1;;;;;liberator?;;
14;Potravinová aditiva;;fosforečnany draselné, E340;1;;;;;liberator?;;
14;Potravinová aditiva;;gama-tokoferol, E308;0;;;;;;;
14;Potravinová aditiva;;glukonan železnatý, E579;0;;;;;;;
14;Potravinová aditiva;;glutaman amonný, glutamát amonný, E624;2;;;L;;;;
14;Potravinová aditiva;;glutaman draselný, glutamát draselný, E622;2;;;L;;;;
14;Potravinová aditiva;;glutaman hořečnatý, glutamát hořečnatý, E625;2;;;L;;;;
